,EMPRESA_ID,RAZAO SOCIAL,NOME FANTASIA,ENDERECO,ENDERECO NUMERO,ENDERECO COMPLEMENTO,BAIRRO,CIDADE,ESTADO,CEP,TAMANHO,CAPITAL SOCIAL,FATURAMENTO,FUNCIONARIOS,DATA DE ABERTURA,TIPO DE UNIDADE,SITUACAO,ATIVIDADE PRINCIPAL,NATUREZA JURIDICA,TELEFONE 1,TELEFONE 2,TELEFONE 3,TELEFONE 4,TELEFONE 5,WEBSITE 1,WEBSITE 2,WEBSITE 3,WEBSITE 4,WEBSITE 5
2352,EMPRESA_ID_3115,EMPRESA 3115,NOME FANTASIA 3115,ENDERECO 3115,NUMERO 3115,COMPLEMENTO 3115,BAIRRO 3115,PORTO ALEGRE,RS,CEP 3115,PEQUENO,R$ 50 M - R$ 100 M,18000000100.0,201 - 500,02/16/1998,MATRIZ,ATIVA,Serviços advocatícios,Empresa Privada,TELEFONE 1_EMPRESA_3115,TELEFONE 2_EMPRESA_3115,TELEFONE 3_EMPRESA_3115,TELEFONE 4_EMPRESA_3115,TELEFONE 5_EMPRESA_3115,,,,,
2353,EMPRESA_ID_3116,EMPRESA 3116,NOME FANTASIA 3116,ENDERECO 3116,NUMERO 3116,COMPLEMENTO 3116,BAIRRO 3116,PORTO ALEGRE,RS,CEP 3116,PEQUENO,R$ 0 - R$ 50 K,18000100.0,0 - 3,01/01/1970,MATRIZ,ATIVA,Agências de viagens,Empresa Privada,TELEFONE 1_EMPRESA_3116,TELEFONE 2_EMPRESA_3116,TELEFONE 3_EMPRESA_3116,TELEFONE 4_EMPRESA_3116,TELEFONE 5_EMPRESA_3116,,,,,
2354,EMPRESA_ID_3117,EMPRESA 3117,NOME FANTASIA 3117,ENDERECO 3117,NUMERO 3117,COMPLEMENTO 3117,BAIRRO 3117,CACHOEIRINHA,RS,CEP 3117,PEQUENO,"R$ 2,5 M - R$ 10 M",130000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Fabricação de vidro plano e de segurança,Empresa Privada,TELEFONE 1_EMPRESA_3117,TELEFONE 2_EMPRESA_3117,TELEFONE 3_EMPRESA_3117,TELEFONE 4_EMPRESA_3117,TELEFONE 5_EMPRESA_3117,WEBSITE 1_EMPRESA_3117,,,,
2355,EMPRESA_ID_3118,EMPRESA 3118,NOME FANTASIA 3118,ENDERECO 3118,NUMERO 3118,COMPLEMENTO 3118,BAIRRO 3118,CACHOEIRINHA,RS,CEP 3118,PEQUENO,R$ 251 - R$ 500 K,18000100.0,4 - 10,01/01/1970,MATRIZ,ATIVA,Fabricação de outros produtos de metal não especificados anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_3118,TELEFONE 2_EMPRESA_3118,TELEFONE 3_EMPRESA_3118,TELEFONE 4_EMPRESA_3118,,WEBSITE 1_EMPRESA_3118,WEBSITE 2_EMPRESA_3118,,,
2356,EMPRESA_ID_3119,EMPRESA 3119,NOME FANTASIA 3119,ENDERECO 3119,NUMERO 3119,COMPLEMENTO 3119,BAIRRO 3119,PORTO ALEGRE,RS,CEP 3119,MEDIO,"R$ 501 - R$ 2,5 M",400000100.0,11 - 50,07/19/1995,MATRIZ,ATIVA,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar, partes e peças",Empresa Privada,TELEFONE 1_EMPRESA_3119,TELEFONE 2_EMPRESA_3119,TELEFONE 3_EMPRESA_3119,,,WEBSITE 1_EMPRESA_3119,WEBSITE 2_EMPRESA_3119,,,
2357,EMPRESA_ID_312,EMPRESA 312,NOME FANTASIA 312,ENDERECO 312,NUMERO 312,COMPLEMENTO 312,BAIRRO 312,PORTO ALEGRE,RS,CEP 312,PEQUENO,"R$ 501 - R$ 2,5 M",18000100.0,4 - 10,02/19/1991,MATRIZ,ATIVA,Consultoria em tecnologia da informação,Empresa Privada,TELEFONE 1_EMPRESA_312,TELEFONE 2_EMPRESA_312,TELEFONE 3_EMPRESA_312,TELEFONE 4_EMPRESA_312,TELEFONE 5_EMPRESA_312,WEBSITE 1_EMPRESA_312,WEBSITE 2_EMPRESA_312,WEBSITE 3_EMPRESA_312,,
2358,EMPRESA_ID_3120,EMPRESA 3120,NOME FANTASIA 3120,ENDERECO 3120,NUMERO 3120,COMPLEMENTO 3120,BAIRRO 3120,PORTO ALEGRE,RS,CEP 3120,MICRO,"R$ 501 - R$ 2,5 M",480000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Comércio varejista especializado de equipamentos e suprimentos de informática,Empresa Privada,TELEFONE 1_EMPRESA_3120,TELEFONE 2_EMPRESA_3120,,,,WEBSITE 1_EMPRESA_3120,WEBSITE 2_EMPRESA_3120,WEBSITE 3_EMPRESA_3120,,
2359,EMPRESA_ID_3121,EMPRESA 3121,NOME FANTASIA 3121,ENDERECO 3121,NUMERO 3121,COMPLEMENTO 3121,BAIRRO 3121,SANTA VITORIA DO PALMAR,RS,CEP 3121,MEDIO,"R$ 501 - R$ 2,5 M",330000100.0,11 - 50,07/20/2012,FILIAL,ATIVA,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,Empresa Privada,TELEFONE 1_EMPRESA_3121,,,,,WEBSITE 1_EMPRESA_3121,,,,
2360,EMPRESA_ID_3122,EMPRESA 3122,NOME FANTASIA 3122,ENDERECO 3122,NUMERO 3122,COMPLEMENTO 3122,BAIRRO 3122,PORTO ALEGRE,RS,CEP 3122,PEQUENO,R$ 51K - R$ 250 K,36000100.0,11 - 50,03/14/2013,FILIAL,ATIVA,"Comércio a varejo de automóveis, camionetas e utilitários novos",Empresa Privada,TELEFONE 1_EMPRESA_3122,,,,,,,,,
2361,EMPRESA_ID_3123,EMPRESA 3123,NOME FANTASIA 3123,ENDERECO 3123,NUMERO 3123,COMPLEMENTO 3123,BAIRRO 3123,PORTO ALEGRE,RS,CEP 3123,PEQUENO,R$ 51K - R$ 250 K,18000100.0,11 - 50,01/19/1995,MATRIZ,ATIVA,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário, partes e peças",Empresa Privada,TELEFONE 1_EMPRESA_3123,TELEFONE 2_EMPRESA_3123,,,,WEBSITE 1_EMPRESA_3123,WEBSITE 2_EMPRESA_3123,WEBSITE 3_EMPRESA_3123,,
