,EMPRESA_ID,RAZAO SOCIAL,NOME FANTASIA,ENDERECO,ENDERECO NUMERO,ENDERECO COMPLEMENTO,BAIRRO,CIDADE,ESTADO,CEP,TAMANHO,CAPITAL SOCIAL,FATURAMENTO,FUNCIONARIOS,DATA DE ABERTURA,TIPO DE UNIDADE,SITUACAO,ATIVIDADE PRINCIPAL,NATUREZA JURIDICA,TELEFONE 1,TELEFONE 2,TELEFONE 3,TELEFONE 4,TELEFONE 5,WEBSITE 1,WEBSITE 2,WEBSITE 3,WEBSITE 4,WEBSITE 5
0,EMPRESA_ID_1,EMPRESA 1,NOME FANTASIA 1,ENDERECO 1,NUMERO 1,COMPLEMENTO 1,BAIRRO 1,SAO PAULO,SP,CEP 1,PEQUENO,R$ 251 - R$ 500 K,60000100.0,11 - 50,02/25/2002,MATRIZ,ATIVA,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,Empresa Privada,TELEFONE 1_EMPRESA_1,TELEFONE 2_EMPRESA_1,TELEFONE 3_EMPRESA_1,,,WEBSITE 1_EMPRESA_1,WEBSITE 2_EMPRESA_1,,,
1,EMPRESA_ID_10,EMPRESA 10,NOME FANTASIA 10,ENDERECO 10,NUMERO 10,COMPLEMENTO 10,BAIRRO 10,CURITIBA,PR,CEP 10,PEQUENO,R$ 10 M - R$ 50 M,7500000100.0,201 - 500,01/01/1970,MATRIZ,ATIVA,Desenvolvimento e licenciamento de programas de computador não customizáveis,Empresa Privada,TELEFONE 1_EMPRESA_10,TELEFONE 2_EMPRESA_10,TELEFONE 3_EMPRESA_10,TELEFONE 4_EMPRESA_10,TELEFONE 5_EMPRESA_10,WEBSITE 1_EMPRESA_10,WEBSITE 2_EMPRESA_10,WEBSITE 3_EMPRESA_10,,
2,EMPRESA_ID_100,EMPRESA 100,NOME FANTASIA 100,ENDERECO 100,NUMERO 100,COMPLEMENTO 100,BAIRRO 100,SAO PAULO,SP,CEP 100,DEMAIS,R$ 0 - R$ 50 K,330000100.0,0 - 3,09/30/2004,MATRIZ,INAPTA,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",Empresa Privada,TELEFONE 1_EMPRESA_100,TELEFONE 2_EMPRESA_100,TELEFONE 3_EMPRESA_100,TELEFONE 4_EMPRESA_100,TELEFONE 5_EMPRESA_100,WEBSITE 1_EMPRESA_100,,,,
3,EMPRESA_ID_1000,EMPRESA 1000,NOME FANTASIA 1000,ENDERECO 1000,NUMERO 1000,COMPLEMENTO 1000,BAIRRO 1000,BARUERI,SP,CEP 1000,GRANDE,R$ 251 - R$ 500 K,6500000100.0,201 - 500,03/29/2007,MATRIZ,ATIVA,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet",Empresa Privada,TELEFONE 1_EMPRESA_1000,TELEFONE 2_EMPRESA_1000,,,,,,,,
4,EMPRESA_ID_1001,EMPRESA 1001,NOME FANTASIA 1001,ENDERECO 1001,NUMERO 1001,COMPLEMENTO 1001,BAIRRO 1001,SAO PAULO,SP,CEP 1001,PEQUENO,"R$ 2,5 M - R$ 10 M",60000100.0,11 - 50,05/30/2007,MATRIZ,ATIVA,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias,Empresa Privada,TELEFONE 1_EMPRESA_1001,TELEFONE 2_EMPRESA_1001,TELEFONE 3_EMPRESA_1001,TELEFONE 4_EMPRESA_1001,TELEFONE 5_EMPRESA_1001,WEBSITE 1_EMPRESA_1001,WEBSITE 2_EMPRESA_1001,,,
5,EMPRESA_ID_1002,EMPRESA 1002,NOME FANTASIA 1002,ENDERECO 1002,NUMERO 1002,COMPLEMENTO 1002,BAIRRO 1002,SAO PAULO,SP,CEP 1002,MICRO,"R$ 501 - R$ 2,5 M",34000000100.0,null,03/22/1995,MATRIZ,ATIVA,Serviços de arquitetura,Empresa Privada,TELEFONE 1_EMPRESA_1002,TELEFONE 2_EMPRESA_1002,TELEFONE 3_EMPRESA_1002,TELEFONE 4_EMPRESA_1002,TELEFONE 5_EMPRESA_1002,WEBSITE 1_EMPRESA_1002,,,,
6,EMPRESA_ID_1003,EMPRESA 1003,NOME FANTASIA 1003,ENDERECO 1003,NUMERO 1003,COMPLEMENTO 1003,BAIRRO 1003,SAO PAULO,SP,CEP 1003,PEQUENO,"R$ 2,5 M - R$ 10 M",6500000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Serviços advocatícios,Empresa Privada,TELEFONE 1_EMPRESA_1003,TELEFONE 2_EMPRESA_1003,TELEFONE 3_EMPRESA_1003,,,WEBSITE 1_EMPRESA_1003,,,,
7,EMPRESA_ID_1004,EMPRESA 1004,NOME FANTASIA 1004,ENDERECO 1004,NUMERO 1004,COMPLEMENTO 1004,BAIRRO 1004,SAO PAULO,SP,CEP 1004,MICRO,R$ 51K - R$ 250 K,1700000100.0,51 - 200,01/01/1970,MATRIZ,ATIVA,Fornecimento e gestão de recursos humanos para terceiros,Empresa Privada,TELEFONE 1_EMPRESA_1004,TELEFONE 2_EMPRESA_1004,TELEFONE 3_EMPRESA_1004,,,WEBSITE 1_EMPRESA_1004,,,,
8,EMPRESA_ID_1005,EMPRESA 1005,NOME FANTASIA 1005,ENDERECO 1005,NUMERO 1005,COMPLEMENTO 1005,BAIRRO 1005,ITUPEVA,SP,CEP 1005,MEDIO,"R$ 501 - R$ 2,5 M",90000100.0,11 - 50,03/24/1994,MATRIZ,ATIVA,Fabricação de produtos de panificação industrial,Empresa Privada,TELEFONE 1_EMPRESA_1005,TELEFONE 2_EMPRESA_1005,,,,WEBSITE 1_EMPRESA_1005,WEBSITE 2_EMPRESA_1005,WEBSITE 3_EMPRESA_1005,WEBSITE 4_EMPRESA_1005,WEBSITE 5_EMPRESA_1005
9,EMPRESA_ID_1006,EMPRESA 1006,NOME FANTASIA 1006,ENDERECO 1006,NUMERO 1006,COMPLEMENTO 1006,BAIRRO 1006,SAO PAULO,SP,CEP 1006,PEQUENO,R$ 251 - R$ 500 K,400000100.0,51 - 200,09/22/1994,MATRIZ,ATIVA,Agências de publicidade,Empresa Privada,TELEFONE 1_EMPRESA_1006,TELEFONE 2_EMPRESA_1006,TELEFONE 3_EMPRESA_1006,TELEFONE 4_EMPRESA_1006,TELEFONE 5_EMPRESA_1006,WEBSITE 1_EMPRESA_1006,WEBSITE 2_EMPRESA_1006,WEBSITE 3_EMPRESA_1006,,
10,EMPRESA_ID_1007,EMPRESA 1007,NOME FANTASIA 1007,ENDERECO 1007,NUMERO 1007,COMPLEMENTO 1007,BAIRRO 1007,SAO PAULO,SP,CEP 1007,PEQUENO,"R$ 2,5 M - R$ 10 M",400000100.0,51 - 200,12/15/1994,MATRIZ,ATIVA,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet",Empresa Privada,TELEFONE 1_EMPRESA_1007,TELEFONE 2_EMPRESA_1007,TELEFONE 3_EMPRESA_1007,TELEFONE 4_EMPRESA_1007,TELEFONE 5_EMPRESA_1007,WEBSITE 1_EMPRESA_1007,WEBSITE 2_EMPRESA_1007,WEBSITE 3_EMPRESA_1007,,
11,EMPRESA_ID_1008,EMPRESA 1008,NOME FANTASIA 1008,ENDERECO 1008,NUMERO 1008,COMPLEMENTO 1008,BAIRRO 1008,DIADEMA,SP,CEP 1008,PEQUENO,"R$ 501 - R$ 2,5 M",330000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",Empresa Privada,TELEFONE 1_EMPRESA_1008,TELEFONE 2_EMPRESA_1008,TELEFONE 3_EMPRESA_1008,TELEFONE 4_EMPRESA_1008,TELEFONE 5_EMPRESA_1008,WEBSITE 1_EMPRESA_1008,,,,
12,EMPRESA_ID_1009,EMPRESA 1009,NOME FANTASIA 1009,ENDERECO 1009,NUMERO 1009,COMPLEMENTO 1009,BAIRRO 1009,SAO PAULO,SP,CEP 1009,MEDIO,R$ 51K - R$ 250 K,1400000100.0,51 - 200,03/17/1976,MATRIZ,ATIVA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Empresa Privada,TELEFONE 1_EMPRESA_1009,TELEFONE 2_EMPRESA_1009,TELEFONE 3_EMPRESA_1009,TELEFONE 4_EMPRESA_1009,TELEFONE 5_EMPRESA_1009,WEBSITE 1_EMPRESA_1009,,,,
13,EMPRESA_ID_101,EMPRESA 101,NOME FANTASIA 101,ENDERECO 101,NUMERO 101,COMPLEMENTO 101,BAIRRO 101,GUARULHOS,SP,CEP 101,PEQUENO,R$ 0 - R$ 50 K,18000100.0,11 - 50,08/13/1986,MATRIZ,ATIVA,Impressão de material para outros usos,Empresa Privada,TELEFONE 1_EMPRESA_101,TELEFONE 2_EMPRESA_101,TELEFONE 3_EMPRESA_101,TELEFONE 4_EMPRESA_101,TELEFONE 5_EMPRESA_101,WEBSITE 1_EMPRESA_101,,,,
14,EMPRESA_ID_1010,EMPRESA 1010,NOME FANTASIA 1010,ENDERECO 1010,NUMERO 1010,COMPLEMENTO 1010,BAIRRO 1010,SAO PAULO,SP,CEP 1010,PEQUENO,R$ 10 M - R$ 50 M,400000100.0,51 - 200,01/01/1970,MATRIZ,ATIVA,Treinamento em desenvolvimento profissional e gerencial,Empresa Privada,TELEFONE 1_EMPRESA_1010,TELEFONE 2_EMPRESA_1010,TELEFONE 3_EMPRESA_1010,,,WEBSITE 1_EMPRESA_1010,WEBSITE 2_EMPRESA_1010,WEBSITE 3_EMPRESA_1010,WEBSITE 4_EMPRESA_1010,WEBSITE 5_EMPRESA_1010
15,EMPRESA_ID_1011,EMPRESA 1011,NOME FANTASIA 1011,ENDERECO 1011,NUMERO 1011,COMPLEMENTO 1011,BAIRRO 1011,SAO PAULO,SP,CEP 1011,PEQUENO,"R$ 501 - R$ 2,5 M",3200000100.0,51 - 200,04/15/1980,MATRIZ,ATIVA,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",Empresa Privada,TELEFONE 1_EMPRESA_1011,TELEFONE 2_EMPRESA_1011,TELEFONE 3_EMPRESA_1011,TELEFONE 4_EMPRESA_1011,,WEBSITE 1_EMPRESA_1011,WEBSITE 2_EMPRESA_1011,WEBSITE 3_EMPRESA_1011,,
16,EMPRESA_ID_1012,EMPRESA 1012,NOME FANTASIA 1012,ENDERECO 1012,NUMERO 1012,COMPLEMENTO 1012,BAIRRO 1012,SAO PAULO,SP,CEP 1012,MEDIO,"R$ 501 - R$ 2,5 M",1400000100.0,51 - 200,07/21/1966,MATRIZ,ATIVA,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_1012,TELEFONE 2_EMPRESA_1012,TELEFONE 3_EMPRESA_1012,,,WEBSITE 1_EMPRESA_1012,WEBSITE 2_EMPRESA_1012,,,
17,EMPRESA_ID_1013,EMPRESA 1013,NOME FANTASIA 1013,ENDERECO 1013,NUMERO 1013,COMPLEMENTO 1013,BAIRRO 1013,SAO PAULO,SP,CEP 1013,MEDIO,"R$ 501 - R$ 2,5 M",400000100.0,11 - 50,07/15/1966,MATRIZ,ATIVA,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_1013,TELEFONE 2_EMPRESA_1013,TELEFONE 3_EMPRESA_1013,TELEFONE 4_EMPRESA_1013,TELEFONE 5_EMPRESA_1013,WEBSITE 1_EMPRESA_1013,WEBSITE 2_EMPRESA_1013,WEBSITE 3_EMPRESA_1013,,
18,EMPRESA_ID_1014,EMPRESA 1014,NOME FANTASIA 1014,ENDERECO 1014,NUMERO 1014,COMPLEMENTO 1014,BAIRRO 1014,SOROCABA,SP,CEP 1014,MEDIO,R$ 10 M - R$ 50 M,480000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Holdings de instituições não financeiras,Empresa Privada,TELEFONE 1_EMPRESA_1014,TELEFONE 2_EMPRESA_1014,TELEFONE 3_EMPRESA_1014,TELEFONE 4_EMPRESA_1014,TELEFONE 5_EMPRESA_1014,,,,,
19,EMPRESA_ID_1015,EMPRESA 1015,NOME FANTASIA 1015,ENDERECO 1015,NUMERO 1015,COMPLEMENTO 1015,BAIRRO 1015,SAO PAULO,SP,CEP 1015,PEQUENO,"R$ 501 - R$ 2,5 M",400000100.0,51 - 200,01/01/1970,MATRIZ,ATIVA,Fabricação de outros produtos químicos não especificados anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_1015,TELEFONE 2_EMPRESA_1015,TELEFONE 3_EMPRESA_1015,TELEFONE 4_EMPRESA_1015,,WEBSITE 1_EMPRESA_1015,,,,
20,EMPRESA_ID_1016,EMPRESA 1016,NOME FANTASIA 1016,ENDERECO 1016,NUMERO 1016,COMPLEMENTO 1016,BAIRRO 1016,VALINHOS,SP,CEP 1016,PEQUENO,"R$ 501 - R$ 2,5 M",1100000100.0,51 - 200,08/22/1969,MATRIZ,ATIVA,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_1016,TELEFONE 2_EMPRESA_1016,TELEFONE 3_EMPRESA_1016,TELEFONE 4_EMPRESA_1016,TELEFONE 5_EMPRESA_1016,WEBSITE 1_EMPRESA_1016,WEBSITE 2_EMPRESA_1016,,,
21,EMPRESA_ID_1017,EMPRESA 1017,NOME FANTASIA 1017,ENDERECO 1017,NUMERO 1017,COMPLEMENTO 1017,BAIRRO 1017,SAO PAULO,SP,CEP 1017,PEQUENO,R$ 51K - R$ 250 K,18000100.0,11 - 50,06/25/1976,MATRIZ,ATIVA,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,Empresa Privada,TELEFONE 1_EMPRESA_1017,TELEFONE 2_EMPRESA_1017,TELEFONE 3_EMPRESA_1017,TELEFONE 4_EMPRESA_1017,TELEFONE 5_EMPRESA_1017,WEBSITE 1_EMPRESA_1017,,,,
22,EMPRESA_ID_1018,EMPRESA 1018,NOME FANTASIA 1018,ENDERECO 1018,NUMERO 1018,COMPLEMENTO 1018,BAIRRO 1018,SAO PAULO,SP,CEP 1018,MEDIO,R$ 251 - R$ 500 K,18000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Outras atividades de telecomunicações não especificadas anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_1018,TELEFONE 2_EMPRESA_1018,TELEFONE 3_EMPRESA_1018,TELEFONE 4_EMPRESA_1018,TELEFONE 5_EMPRESA_1018,WEBSITE 1_EMPRESA_1018,,,,
23,EMPRESA_ID_1019,EMPRESA 1019,NOME FANTASIA 1019,ENDERECO 1019,NUMERO 1019,COMPLEMENTO 1019,BAIRRO 1019,SAO PAULO,SP,CEP 1019,MEDIO,"R$ 501 - R$ 2,5 M",330000100.0,11 - 50,01/26/1970,MATRIZ,ATIVA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Empresa Privada,TELEFONE 1_EMPRESA_1019,TELEFONE 2_EMPRESA_1019,,,,WEBSITE 1_EMPRESA_1019,,,,
24,EMPRESA_ID_102,EMPRESA 102,NOME FANTASIA 102,ENDERECO 102,NUMERO 102,COMPLEMENTO 102,BAIRRO 102,SAO PAULO,SP,CEP 102,MEDIO,"R$ 501 - R$ 2,5 M",330000100.0,11 - 50,12/14/2009,MATRIZ,ATIVA,Ensino fundamental,Associação,TELEFONE 1_EMPRESA_102,TELEFONE 2_EMPRESA_102,TELEFONE 3_EMPRESA_102,,,,,,,
25,EMPRESA_ID_1020,EMPRESA 1020,NOME FANTASIA 1020,ENDERECO 1020,NUMERO 1020,COMPLEMENTO 1020,BAIRRO 1020,SAO PAULO,SP,CEP 1020,DEMAIS,"R$ 501 - R$ 2,5 M",260000100.0,11 - 50,03/23/2011,FILIAL,ATIVA,Comércio atacadista de ferragens e ferramentas,Empresa Privada,TELEFONE 1_EMPRESA_1020,TELEFONE 2_EMPRESA_1020,,,,WEBSITE 1_EMPRESA_1020,,,,
26,EMPRESA_ID_1021,EMPRESA 1021,NOME FANTASIA 1021,ENDERECO 1021,NUMERO 1021,COMPLEMENTO 1021,BAIRRO 1021,GUARULHOS,SP,CEP 1021,MICRO,"R$ 501 - R$ 2,5 M",130000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Fabricação de aditivos de uso industrial,Empresa Privada,TELEFONE 1_EMPRESA_1021,TELEFONE 2_EMPRESA_1021,TELEFONE 3_EMPRESA_1021,TELEFONE 4_EMPRESA_1021,TELEFONE 5_EMPRESA_1021,WEBSITE 1_EMPRESA_1021,WEBSITE 2_EMPRESA_1021,,,
27,EMPRESA_ID_1022,EMPRESA 1022,NOME FANTASIA 1022,ENDERECO 1022,NUMERO 1022,COMPLEMENTO 1022,BAIRRO 1022,SAO PAULO,SP,CEP 1022,PEQUENO,"R$ 2,5 M - R$ 10 M",800000100.0,51 - 200,12/31/1997,MATRIZ,ATIVA,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_1022,TELEFONE 2_EMPRESA_1022,,,,WEBSITE 1_EMPRESA_1022,WEBSITE 2_EMPRESA_1022,,,
28,EMPRESA_ID_1023,EMPRESA 1023,NOME FANTASIA 1023,ENDERECO 1023,NUMERO 1023,COMPLEMENTO 1023,BAIRRO 1023,BELO HORIZONTE,MG,CEP 1023,MICRO,R$ 0 - R$ 50 K,18000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Serviços advocatícios,Empresa Privada,TELEFONE 1_EMPRESA_1023,TELEFONE 2_EMPRESA_1023,TELEFONE 3_EMPRESA_1023,TELEFONE 4_EMPRESA_1023,TELEFONE 5_EMPRESA_1023,WEBSITE 1_EMPRESA_1023,,,,
29,EMPRESA_ID_1024,EMPRESA 1024,NOME FANTASIA 1024,ENDERECO 1024,NUMERO 1024,COMPLEMENTO 1024,BAIRRO 1024,SAO PAULO,SP,CEP 1024,MICRO,R$ 50 M - R$ 100 M,180000100.0,11 - 50,03/14/2007,MATRIZ,ATIVA,Atividades de teleatendimento,Empresa Privada,TELEFONE 1_EMPRESA_1024,,,,,WEBSITE 1_EMPRESA_1024,,,,
30,EMPRESA_ID_1025,EMPRESA 1025,NOME FANTASIA 1025,ENDERECO 1025,NUMERO 1025,COMPLEMENTO 1025,BAIRRO 1025,SAO PAULO,SP,CEP 1025,PEQUENO,"R$ 2,5 M - R$ 10 M",18000100.0,11 - 50,01/19/2007,MATRIZ,ATIVA,"Lojas de variedades, exceto lojas de departamentos ou magazines",Empresa Privada,TELEFONE 1_EMPRESA_1025,TELEFONE 2_EMPRESA_1025,TELEFONE 3_EMPRESA_1025,TELEFONE 4_EMPRESA_1025,TELEFONE 5_EMPRESA_1025,WEBSITE 1_EMPRESA_1025,WEBSITE 2_EMPRESA_1025,WEBSITE 3_EMPRESA_1025,WEBSITE 4_EMPRESA_1025,WEBSITE 5_EMPRESA_1025
31,EMPRESA_ID_1026,EMPRESA 1026,NOME FANTASIA 1026,ENDERECO 1026,NUMERO 1026,COMPLEMENTO 1026,BAIRRO 1026,JUNDIAI,SP,CEP 1026,MICRO,"R$ 501 - R$ 2,5 M",180000100.0,11 - 50,03/25/1997,MATRIZ,ATIVA,Testes e análises técnicas,Empresa Privada,TELEFONE 1_EMPRESA_1026,TELEFONE 2_EMPRESA_1026,TELEFONE 3_EMPRESA_1026,TELEFONE 4_EMPRESA_1026,TELEFONE 5_EMPRESA_1026,WEBSITE 1_EMPRESA_1026,,,,
32,EMPRESA_ID_1027,EMPRESA 1027,NOME FANTASIA 1027,ENDERECO 1027,NUMERO 1027,COMPLEMENTO 1027,BAIRRO 1027,SAO PAULO,SP,CEP 1027,PEQUENO,"R$ 501 - R$ 2,5 M",90000100.0,11 - 50,01/28/1999,MATRIZ,ATIVA,Desenvolvimento e licenciamento de programas de computador customizáveis,Empresa Privada,TELEFONE 1_EMPRESA_1027,TELEFONE 2_EMPRESA_1027,TELEFONE 3_EMPRESA_1027,TELEFONE 4_EMPRESA_1027,TELEFONE 5_EMPRESA_1027,WEBSITE 1_EMPRESA_1027,WEBSITE 2_EMPRESA_1027,WEBSITE 3_EMPRESA_1027,WEBSITE 4_EMPRESA_1027,WEBSITE 5_EMPRESA_1027
33,EMPRESA_ID_1028,EMPRESA 1028,NOME FANTASIA 1028,ENDERECO 1028,NUMERO 1028,COMPLEMENTO 1028,BAIRRO 1028,SAO PAULO,SP,CEP 1028,PEQUENO,"R$ 2,5 M - R$ 10 M",1700000100.0,51 - 200,05/27/1988,MATRIZ,ATIVA,"Fabricação de máquinas-ferramenta, peças e acessórios",Empresa Privada,TELEFONE 1_EMPRESA_1028,,,,,WEBSITE 1_EMPRESA_1028,,,,
34,EMPRESA_ID_1029,EMPRESA 1029,NOME FANTASIA 1029,ENDERECO 1029,NUMERO 1029,COMPLEMENTO 1029,BAIRRO 1029,SAO PAULO,SP,CEP 1029,PEQUENO,R$ 10 M - R$ 50 M,2600000100.0,51 - 200,01/23/2014,MATRIZ,ATIVA,Comércio varejista de outros produtos não especificados anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_1029,,,,,,,,,
35,EMPRESA_ID_103,EMPRESA 103,NOME FANTASIA 103,ENDERECO 103,NUMERO 103,COMPLEMENTO 103,BAIRRO 103,SAO PAULO,SP,CEP 103,DEMAIS,R$ 51K - R$ 250 K,90000100.0,11 - 50,08/14/2006,FILIAL,BAIXADA,"Portais, provedores de conteúdo e outros serviços de informação na Internet",Empresa Privada,TELEFONE 1_EMPRESA_103,TELEFONE 2_EMPRESA_103,TELEFONE 3_EMPRESA_103,TELEFONE 4_EMPRESA_103,TELEFONE 5_EMPRESA_103,,,,,
36,EMPRESA_ID_1030,EMPRESA 1030,NOME FANTASIA 1030,ENDERECO 1030,NUMERO 1030,COMPLEMENTO 1030,BAIRRO 1030,SAO PAULO,SP,CEP 1030,MICRO,"R$ 501 - R$ 2,5 M",400000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,"Comércio atacadista de máquinas e equipamentos para uso industrial, partes e peças",Empresa Privada,TELEFONE 1_EMPRESA_1030,,,,,WEBSITE 1_EMPRESA_1030,,,,
37,EMPRESA_ID_1031,EMPRESA 1031,NOME FANTASIA 1031,ENDERECO 1031,NUMERO 1031,COMPLEMENTO 1031,BAIRRO 1031,BRASILIA,DF,CEP 1031,PEQUENO,R$ 51K - R$ 250 K,800000100.0,51 - 200,08/15/2002,MATRIZ,ATIVA,Agências de publicidade,Empresa Privada,TELEFONE 1_EMPRESA_1031,TELEFONE 2_EMPRESA_1031,TELEFONE 3_EMPRESA_1031,TELEFONE 4_EMPRESA_1031,TELEFONE 5_EMPRESA_1031,WEBSITE 1_EMPRESA_1031,WEBSITE 2_EMPRESA_1031,WEBSITE 3_EMPRESA_1031,WEBSITE 4_EMPRESA_1031,WEBSITE 5_EMPRESA_1031
38,EMPRESA_ID_1032,EMPRESA 1032,NOME FANTASIA 1032,ENDERECO 1032,NUMERO 1032,COMPLEMENTO 1032,BAIRRO 1032,SAO BERNARDO DO CAMPO,SP,CEP 1032,MICRO,"R$ 501 - R$ 2,5 M",330000100.0,11 - 50,07/29/2008,MATRIZ,ATIVA,"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente, partes e peças",Empresa Privada,TELEFONE 1_EMPRESA_1032,TELEFONE 2_EMPRESA_1032,,,,WEBSITE 1_EMPRESA_1032,,,,
39,EMPRESA_ID_1033,EMPRESA 1033,NOME FANTASIA 1033,ENDERECO 1033,NUMERO 1033,COMPLEMENTO 1033,BAIRRO 1033,TRES LAGOAS,MS,CEP 1033,PEQUENO,"R$ 501 - R$ 2,5 M",18000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,Empresa Privada,TELEFONE 1_EMPRESA_1033,TELEFONE 2_EMPRESA_1033,TELEFONE 3_EMPRESA_1033,TELEFONE 4_EMPRESA_1033,TELEFONE 5_EMPRESA_1033,WEBSITE 1_EMPRESA_1033,WEBSITE 2_EMPRESA_1033,WEBSITE 3_EMPRESA_1033,WEBSITE 4_EMPRESA_1033,WEBSITE 5_EMPRESA_1033
40,EMPRESA_ID_1034,EMPRESA 1034,NOME FANTASIA 1034,ENDERECO 1034,NUMERO 1034,COMPLEMENTO 1034,BAIRRO 1034,SAO PAULO,SP,CEP 1034,GRANDE,"R$ 501 - R$ 2,5 M",18000100.0,4 - 10,06/27/2018,MATRIZ,ATIVA,"Emissão de vales-alimentação, vales-transporte e similares",Empresa Privada,TELEFONE 1_EMPRESA_1034,,,,,,,,,
41,EMPRESA_ID_1035,EMPRESA 1035,NOME FANTASIA 1035,ENDERECO 1035,NUMERO 1035,COMPLEMENTO 1035,BAIRRO 1035,SAO PAULO,SP,CEP 1035,MICRO,R$ 0 - R$ 50 K,18000100.0,0 - 3,01/01/1970,MATRIZ,ATIVA,Atividades de administração de fundos por contrato ou comissão,Empresa Privada,TELEFONE 1_EMPRESA_1035,,,,,,,,,
42,EMPRESA_ID_1036,EMPRESA 1036,NOME FANTASIA 1036,ENDERECO 1036,NUMERO 1036,COMPLEMENTO 1036,BAIRRO 1036,FORTALEZA,CE,CEP 1036,MEDIO,R$ 0 - R$ 50 K,3200000100.0,51 - 200,01/01/1970,MATRIZ,ATIVA,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)",Empresa Privada,TELEFONE 1_EMPRESA_1036,TELEFONE 2_EMPRESA_1036,TELEFONE 3_EMPRESA_1036,TELEFONE 4_EMPRESA_1036,TELEFONE 5_EMPRESA_1036,WEBSITE 1_EMPRESA_1036,,,,
43,EMPRESA_ID_1037,EMPRESA 1037,NOME FANTASIA 1037,ENDERECO 1037,NUMERO 1037,COMPLEMENTO 1037,BAIRRO 1037,ITU,SP,CEP 1037,MICRO,"R$ 501 - R$ 2,5 M",60000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Comércio varejista especializado de equipamentos e suprimentos de informática,Empresa Privada,TELEFONE 1_EMPRESA_1037,TELEFONE 2_EMPRESA_1037,TELEFONE 3_EMPRESA_1037,TELEFONE 4_EMPRESA_1037,TELEFONE 5_EMPRESA_1037,WEBSITE 1_EMPRESA_1037,WEBSITE 2_EMPRESA_1037,WEBSITE 3_EMPRESA_1037,WEBSITE 4_EMPRESA_1037,WEBSITE 5_EMPRESA_1037
44,EMPRESA_ID_1038,EMPRESA 1038,NOME FANTASIA 1038,ENDERECO 1038,NUMERO 1038,COMPLEMENTO 1038,BAIRRO 1038,JUNDIAI,SP,CEP 1038,MEDIO,"R$ 2,5 M - R$ 10 M",3200000100.0,51 - 200,01/01/1970,FILIAL,ATIVA,Ensino fundamental,Associação,TELEFONE 1_EMPRESA_1038,TELEFONE 2_EMPRESA_1038,TELEFONE 3_EMPRESA_1038,TELEFONE 4_EMPRESA_1038,TELEFONE 5_EMPRESA_1038,WEBSITE 1_EMPRESA_1038,WEBSITE 2_EMPRESA_1038,,,
45,EMPRESA_ID_1039,EMPRESA 1039,NOME FANTASIA 1039,ENDERECO 1039,NUMERO 1039,COMPLEMENTO 1039,BAIRRO 1039,MORUNGABA,SP,CEP 1039,MEDIO,R$ 251 - R$ 500 K,400000100.0,51 - 200,01/31/1990,MATRIZ,ATIVA,Fabricação de embalagens de material plástico,Empresa Privada,TELEFONE 1_EMPRESA_1039,TELEFONE 2_EMPRESA_1039,TELEFONE 3_EMPRESA_1039,,,WEBSITE 1_EMPRESA_1039,WEBSITE 2_EMPRESA_1039,,,
